1.869782588000000032e+03,6.857298469999999497e+02,1.886551382000000103e+03,6.205417539999999690e+02,3.110091000000000161e+00
9.898290050000000520e+02,1.008861700000000042e+03,1.011129517999999962e+03,9.595931199999999990e+02,5.025045000000000428e+00
1.092121791999999914e+03,1.003805077999999980e+03,1.118927271000000019e+03,9.566206449999999677e+02,4.470142000000000060e+00
6.903414510000000064e+02,8.854543499999999767e+02,6.796243429999999535e+02,9.817636489999999867e+02,3.732594000000000189e+00
6.257851970000000392e+02,9.107751479999999447e+02,6.324492579999999862e+02,8.481861430000000155e+02,4.258297999999999917e+00
5.456052590000000464e+02,9.218730859999999439e+02,5.579557600000000548e+02,7.944797770000000128e+02,4.063079000000000107e+00
1.705651194999999916e+03,7.090636500000000524e+02,1.683674348000000009e+03,7.954467459999999619e+02,4.006555999999999784e+00
5.560963789999999562e+02,1.028236327999999958e+03,5.617577710000000479e+02,9.406982600000000048e+02,3.710973000000000077e+00
8.370814840000000459e+02,1.158143532000000050e+03,8.310118330000000242e+02,1.225771905999999944e+03,4.117821000000000176e+00
3.968266960000000267e+02,9.068731530000000021e+02,4.001249320000000012e+02,8.206058809999999539e+02,4.096415000000000362e+00
6.944133040000000392e+02,9.932702309999999670e+02,7.051295059999999921e+02,8.982100560000000087e+02,4.553270000000000373e+00
5.684940050000000156e+02,9.718075629999999592e+02,5.638037160000000085e+02,1.033081269999999904e+03,3.732960999999999974e+00
3.878775059999999826e+02,8.093635580000000118e+02,3.832481930000000148e+02,9.094962749999999687e+02,4.532841000000000342e+00
1.376818203000000040e+03,9.790859490000000278e+02,1.355355551000000105e+03,1.076118377000000010e+03,4.280756000000000228e+00
6.153266760000000204e+02,9.943566459999999552e+02,6.107921740000000455e+02,1.068058379000000059e+03,3.953743999999999925e+00
7.107105410000000347e+02,9.354822779999999511e+02,7.027322430000000395e+02,1.000576862000000006e+03,4.682898999999999923e+00
1.393802390999999943e+03,9.989586729999999761e+02,1.380637494000000061e+03,1.056592323999999962e+03,4.008509000000000100e+00
6.698621650000000045e+02,1.103165115999999898e+03,6.757403699999999844e+02,1.031781566999999995e+03,3.898277000000000214e+00
6.028046070000000327e+02,1.061930659000000105e+03,6.068495339999999487e+02,9.943734749999999849e+02,3.624016999999999822e+00
6.837851389999999583e+02,1.040675748999999996e+03,6.783105110000000195e+02,1.111889261000000033e+03,4.313085000000000058e+00
1.661697100000000091e+03,7.290303830000000289e+02,1.644484517999999980e+03,8.003497499999999718e+02,4.439784000000000397e+00
1.616209863000000041e+03,8.760800550000000158e+02,1.599278326999999990e+03,9.443510250000000497e+02,3.892217000000000038e+00
1.372756736999999930e+03,1.058319979999999987e+03,1.392341380999999956e+03,9.697545470000000023e+02,4.402153000000000205e+00
1.560892303000000084e+03,8.544416830000000118e+02,1.576082443000000012e+03,7.935509479999999485e+02,4.572098000000000440e+00
